epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.791,2.24079,3.4233,1.11926,0.29512,0.29799,0.20512,0.08861,1.88992,2.15558,1.0391,0.000184699,0.000184699,0.000184699
2,237.894,1.98347,2.09549,1.03929,0.44668,0.44024,0.3852,0.17253,1.73892,1.68142,1.013,0.000362705,0.000362705,0.000362705
3,358.026,1.90718,1.80693,1.02942,0.59287,0.49143,0.4964,0.23406,1.79062,1.47254,1.03393,0.000533373,0.000533373,0.000533373
4,478.817,1.83693,1.60804,1.00768,0.69644,0.52814,0.58509,0.29684,1.66579,1.27753,1.00502,0.000522974,0.000522974,0.000522974
5,599.684,1.80835,1.48511,1.00914,0.72326,0.50995,0.60035,0.30473,1.64457,1.2497,1.00326,0.000511965,0.000511965,0.000511965
6,720.588,1.77644,1.39924,0.9975,0.76053,0.56734,0.64846,0.3367,1.63159,1.12841,0.99949,0.000500956,0.000500956,0.000500956
7,841.696,1.75376,1.31753,0.99228,0.79487,0.57119,0.66426,0.33931,1.61548,1.06997,0.98912,0.000489947,0.000489947,0.000489947
8,962.883,1.71724,1.27568,0.98535,0.78248,0.59474,0.68381,0.35962,1.59989,1.03683,0.98892,0.000478938,0.000478938,0.000478938
9,1084.11,1.7101,1.24607,0.97895,0.8051,0.57153,0.67699,0.34456,1.63281,1.04178,0.99707,0.00046793,0.00046793,0.00046793
10,1204.96,1.69264,1.21499,0.97783,0.76173,0.58464,0.71008,0.37674,1.54829,0.97835,0.96898,0.000456921,0.000456921,0.000456921
11,1330.05,1.66937,1.1742,0.96934,0.7802,0.60922,0.71665,0.3809,1.57488,0.94809,0.98382,0.000445912,0.000445912,0.000445912
12,1453.3,1.65899,1.1421,0.96877,0.76648,0.62663,0.72491,0.3898,1.56954,0.93613,0.98123,0.000434903,0.000434903,0.000434903
13,1578.8,1.64671,1.13156,0.96516,0.79228,0.62707,0.73746,0.39181,1.5748,0.93092,0.9786,0.000423894,0.000423894,0.000423894
14,1701.9,1.64884,1.12517,0.96391,0.79082,0.62211,0.73112,0.38115,1.57477,0.92148,0.9742,0.000412886,0.000412886,0.000412886
15,1828.29,1.62458,1.07565,0.96141,0.77658,0.65664,0.74151,0.39174,1.57277,0.89412,0.98652,0.000401877,0.000401877,0.000401877
16,1951.73,1.62077,1.08467,0.95924,0.7425,0.66153,0.7454,0.40975,1.53883,0.89212,0.97068,0.000390868,0.000390868,0.000390868
17,2078.34,1.60019,1.04392,0.95315,0.78182,0.66037,0.74941,0.40836,1.53414,0.85564,0.97403,0.000379859,0.000379859,0.000379859
18,2207,1.58874,1.02686,0.95224,0.76349,0.67569,0.75115,0.40475,1.57871,0.86171,0.98019,0.00036885,0.00036885,0.00036885
19,2332.05,1.5801,1.01862,0.94759,0.76458,0.68572,0.75536,0.40762,1.5466,0.85482,0.9698,0.000357842,0.000357842,0.000357842
20,2458.72,1.56632,1.00714,0.94243,0.81336,0.6647,0.7635,0.41237,1.53823,0.86173,0.96327,0.000346833,0.000346833,0.000346833
